"employe_id","branch_id","salary","join_date","resign_date"
109055,1,6000000,2020-02-12,
109100,2,14000000,2020-02-11,
111654,1,9000000,2020-02-13,
116539,3,9000000,2020-02-21,2020-04-20
117041,2629,14500000,2020-02-21,
124826,1,8500000,2020-03-02,
124906,1,9000000,2020-03-02,
129001,2625,6000000,2020-03-09,
135834,2590,10000000,2020-03-18,
151191,1,13000000,2020-04-09,
151407,1,10000000,2020-04-13,
152949,2623,11000000,2020-04-15,
173827,1,8000000,2020-06-02,
173891,2630,7000000,2020-06-01,
174070,2,5500000,2020-06-02,
187366,2623,11500000,2020-06-21,
191274,2623,12500000,2020-06-25,
194080,1,12500000,2020-07-01,2020-10-27
194422,2623,12000000,2020-06-25,
196431,2623,7000000,2020-07-06,
201506,2,9000000,2020-07-13,
205227,2590,10000000,2020-07-18,
208682,1,7000000,2020-07-22,
213714,3,6000000,2020-08-03,
218078,1,10500000,2020-08-03,2020-11-28
218078,1,13000000,2020-08-03,2020-11-28
232954,1,6000000,2020-07-27,
251119,11265,11000000,2020-08-30,
251171,2623,5000000,2020-08-24,
259276,1,10000000,2020-09-07,2020-12-07
285438,1,11000000,2020-10-14,
285454,1,8000000,2020-10-14,
285511,1,9500000,2020-10-14,
311335,1,13500000,2020-11-16,
325787,1,12500000,2020-12-03,
329501,1,13000000,2020-12-07,
331374,2629,6000000,2020-12-07,
340184,1,11500000,2020-12-18,
