"employe_id","branch_id","salary","join_date","resign_date"
9898,1,11000000,2019-09-11,
9899,1,6000000,2019-09-16,
9900,1,8000000,2019-09-16,
9901,3,10500000,2019-09-02,2020-02-20
9902,2633,12500000,2019-08-28,
9908,2629,10000000,2019-09-02,
10194,2,9500000,2018-11-01,
10195,3,13500000,2019-08-22,2019-09-10
10196,3,6000000,2019-08-22,2019-10-20
15132,1,9000000,2019-10-07,
15142,1,11500000,2019-09-30,
15729,3092,5500000,2019-10-07,
15731,3092,10000000,2019-10-07,
15735,3092,6000000,2019-10-07,
19581,2626,9000000,2019-09-23,
21794,3092,7500000,2019-10-12,2019-11-27
21798,3092,7500000,2019-10-12,
24347,2626,14500000,2019-10-21,
26612,1,9000000,2019-10-21,
26622,3,5000000,2019-10-21,
26628,3092,12000000,2019-11-04,
26631,3092,9000000,2019-11-04,
26648,3092,13000000,2019-11-04,
28496,2629,12000000,2019-10-28,2020-02-20
28754,1,11500000,2019-10-28,
28763,1,5500000,2019-10-28,
33936,3092,7500000,2019-11-04,
34514,2633,14500000,2019-11-01,
37659,2633,14000000,2019-11-07,
48508,3,12500000,2019-11-26,
49616,3092,10000000,2019-11-28,
51311,1,7500000,2019-12-02,
53191,2635,6000000,2019-12-05,
57649,1,5500000,2019-12-09,
58130,1,12500000,2019-12-09,
