"employe_id","branch_id","salary","join_date","resign_date"
1,3,7500000,2018-08-23,
7,1,7500000,2017-04-28,
8,1,13000000,2017-04-28,
9,1,13500000,2017-12-22,2020-10-14
10,1,9000000,2018-03-01,2020-12-20
11,1,8500000,2018-07-02,2019-11-04
12,1,7500000,2018-07-06,2019-10-30
13,1,9500000,2018-07-30,
14,1,6000000,2018-07-30,
15,1,6000000,2020-07-01,
16,1,10000000,2018-08-10,2019-10-28
17,1,14000000,2018-08-04,2020-02-21
18,1,12000000,2018-08-14,
19,1,11500000,2018-09-28,
20,1,11500000,2018-12-28,2020-11-30
21,1,13500000,2019-01-02,
22,1,8000000,2019-01-21,
23,1,13000000,2018-12-18,
24,1,14500000,2019-07-16,
25,1,12500000,2019-03-28,2019-11-29
26,1,10500000,2019-07-22,
27,1,9000000,2019-07-22,
28,1,8500000,2019-07-22,
29,1,14000000,2019-07-22,2020-10-27
30,1,5500000,2019-08-19,
31,3,13000000,2018-10-15,2020-01-20
32,3,14000000,2019-02-08,
33,3,9500000,2019-03-01,2019-11-01
34,2623,13000000,2019-01-15,2020-06-27
35,2623,13500000,2019-02-04,
36,2623,6000000,2019-02-04,
37,2623,6000000,2019-02-04,
38,2590,11500000,2019-02-04,
39,3092,5000000,2019-02-04,
